,title,price,izmer,location,seller,seller_link,date,link
46,Емкость КАС TR 5000 с лопастной мешалкой,154000.00,за Штуку,"Липецкая область,  Липецк", Олег,https://agroru.com/pages/324518/,11.12.2020,https://agroru.com/doska/emkost-kas-tr-5000-s-lopastnoj-meshalkoj-46303.htm
47,Аммиачная селитра,None,None,"Москва,  Москва", юрий николаевич Кравцов,https://agroru.com/pages/326044/,11.12.2020,https://agroru.com/doska/ammiachnaya-selitra-40686.htm
48,Минеральные удобрения,None,None,"Свердловская область,  Екатеринбург", Татьяна,https://agroru.com/pages/170213/,11.12.2020,https://agroru.com/doska/mineralnye-udobreniya-87299.htm
49,Карбамид Марка Б,17700.00,за Тонну,"Пермский край,  Пермь", Екатерина Петровна Силкина,https://agroru.com/pages/285079/,11.12.2020,https://agroru.com/doska/karbamid-marka-b-39876.htm
50,МОЧЕВИНА,17700.00,за Тонну,"Пермский край,  Пермь", Екатерина Петровна Силкина,https://agroru.com/pages/285079/,11.12.2020,https://agroru.com/doska/mochevina-vygodno-47379.htm
51,Карбамид Марка А,17700.00,за Тонну,"Пермский край,  Пермь", Екатерина Петровна Силкина,https://agroru.com/pages/285079/,11.12.2020,https://agroru.com/doska/karbamid-marka-a-83517.htm
52,Жмых горчичный,15000.00,за Тонну,"Воронежская область,  Воронеж", Николай Николаевич Татаринский,https://agroru.com/pages/273250/,11.12.2020,https://agroru.com/doska/zhmyh-gorchichnyj-36-46056.htm
53,Аммофос 12:52,32000.00,за Тонну,"Р-ка Башкортостан,  Уфа", Разиля Рифовна Кинябаева,https://agroru.com/pages/278641/,11.12.2020,https://agroru.com/doska/ammofos-12-52-40719.htm
54,"некондиция,смесь солей (комплексные удобрения)",7000.00,за Тонну,"Кировская область,  Киров", Ксения,https://agroru.com/pages/326060/,12.12.2020,https://agroru.com/doska/smes-solej-kompleksnye-udobreniya-88413.htm
55,Известково-аммиачная селитра (азот 27% кальций 20%),14200.00,за Тонну,"Кировская область,  Киров", Ксения,https://agroru.com/pages/326060/,12.12.2020,https://agroru.com/doska/izvestkovo-ammiachnaya-selitra-azot-27-kaltsij-20-26065.htm
56,Минеральные удобрения,None,None,"Волгоградская область,  Волгоград", Дарья Олеговна Колобова,https://agroru.com/pages/230003/,11.12.2020,https://agroru.com/doska/mineralnye-udobreniya-v-volgograde-50347.htm
57,Фосфоритная мука марка А,4900.00,за Тонну,"Кировская область,  Киров", Ксения,https://agroru.com/pages/326060/,12.12.2020,https://agroru.com/doska/fosforitnaya-muka-marka-a-63716.htm
58,Диаммофоска 10-26-26,27000.00,за Тонну,"Кировская область,  Киров", Ксения,https://agroru.com/pages/326060/,12.12.2020,https://agroru.com/doska/diammofoska-10-26-26-99292.htm
59,Сульфат аммония ГОСТ,9000.00,за Тонну,"Кировская область,  Киров", Ксения,https://agroru.com/pages/326060/,12.12.2020,https://agroru.com/doska/sulfat-ammoniya-gost-9097-82-88830.htm
